sample_id	tissue	cell_fraction	fraction
GSM3428732	tumor	Macrophages M0	0.108915324085601
GSM3428732	tumor	T cells CD8	0.00842165100662698
GSM3428732	tumor	Macrophages M1	0.0205492417101743
GSM3428732	tumor	T cells follicular helper	0.0614028550658192
GSM3428732	tumor	Mast cells activated	0
GSM3428732	tumor	B cells memory	0
GSM3428732	tumor	NK cells activated	0.00424173299188209
GSM3428733	tumor	T cells CD4 memory resting	0.410001956618126
GSM3428733	tumor	Macrophages M2	0.157554695350048
GSM3428733	tumor	Plasma cells	0.093401317330624
GSM3428733	tumor	Macrophages M0	0.0269220095856069
GSM3428733	tumor	T cells CD8	0.0470682724581244
GSM3428733	tumor	Macrophages M1	0.0810548542179574
GSM3428733	tumor	T cells follicular helper	0
GSM3428733	tumor	Mast cells activated	0.0450476917640013
GSM3428733	tumor	B cells memory	0.00316028298332422
GSM3428733	tumor	NK cells activated	0.0643933499115494
GSM3428734	tumor	T cells CD4 memory resting	0.0834693104605315
GSM3428734	tumor	Macrophages M2	0.268629352095228
GSM3428734	tumor	Plasma cells	0.0559431332482492
GSM3428734	tumor	Macrophages M0	0.03524497883447
GSM3428734	tumor	T cells CD8	0.114530650567013
GSM3428734	tumor	Macrophages M1	0
GSM3428734	tumor	T cells follicular helper	0.123264266400082
GSM3428734	tumor	Mast cells activated	0.0570593607253726
GSM3428734	tumor	B cells memory	0
GSM3428734	tumor	NK cells activated	0.0751439110296553
GSM3428735	tumor	T cells CD4 memory resting	0
GSM3428735	tumor	Macrophages M2	0.164991356027535
GSM3428735	tumor	Plasma cells	0.183833245832681
GSM3428735	tumor	Macrophages M0	0
GSM3428735	tumor	T cells CD8	0.253565497083806
GSM3428735	tumor	Macrophages M1	0.0580444861185139
GSM3428735	tumor	T cells follicular helper	0.0640078804738593
GSM3428735	tumor	Mast cells activated	0
GSM3428735	tumor	B cells memory	0.135670958271994
GSM3428735	tumor	NK cells activated	0.0599194788899846
GSM3428736	tumor	T cells CD4 memory resting	0.228824621692784
GSM3428736	tumor	Macrophages M2	0.253062052459614
GSM3428736	tumor	Plasma cells	0.0626433220651646
GSM3428736	tumor	Macrophages M0	0.0601428936714669
GSM3428736	tumor	T cells CD8	0.0803923022921277
