gene	logFC_121248	t_121248	p_121248	FDR_121248	logFC_41804	t_41804	p_41804	FDR_41804
STRAP	0.16451799613899526	2.6164786270967015	0.010163723597793618	0.02126902158949539	0.27918946300000025	2.4053142157112584	0.020819180613447365	0.10276370226555945
STRBP	0.43313441698841576	4.414118000225152	2.423753997905295e-5	1.0551114812174081e-4	0.3591237185499998	2.5406245079903127	0.015002180022146469	0.08314456612019162
STRIP1	0.21351229343629288	3.8012920031417456	2.3922886459420837e-4	7.892066304044995e-4	0.3144990553500002	2.3131421216584758	0.025877922124582467	0.11791638416276527
STRIP2	0.35557196525096446	3.284940840518228	0.0013778699341646528	0.0037159440463530487	1.7299802245499996	3.241815330794806	0.0023806115869731423	0.025017122633539498
STRN	0.17544409652509593	2.562481618492348	0.011778105478888775	0.024175233863206975	-0.2525556704499988	-2.472780079671169	0.017702669447723068	0.09245360690544294
STRN3	-0.09197248648648604	-1.1783004968060944	0.24128075900318438	0.3200158740684269	-0.04626849309999996	-0.30531822155129384	0.7616890494898635	0.8847803477888017
STRN4	0.27398995752895705	4.299179710261655	3.7850588737048735e-5	1.5620638527737076e-4	0.28395210170000035	0.8034629282235038	0.4264024082597879	0.6525829700766486
STS	-0.5693425096525091	-3.5432180959747765	5.864065595974857e-4	0.0017558295789296772	-0.6202933690500009	-2.516967928204305	0.01589788396894374	0.08628409929551727
STT3A	0.7132254362934353	8.871044645114607	1.7658098493067843e-14	1.075956909018781e-12	0.5738985002499999	3.3857164753197098	0.0015899165333672807	0.019203472709793702
STT3B	0.4246763281853276	5.3338097056498475	5.378814281717442e-7	3.572682353288535e-6	0.26322110050000014	1.5603267270652346	0.12647131308568832	0.32071933708941225
STUB1	-0.05399019305019307	-0.8239241585658291	0.4118084640238291	0.4974770654695593	-0.37250734729999985	-2.9298556205971553	0.005550727794918573	0.04341782873889382
STUM	-0.11941877992277952	-3.036223461325545	0.003006494265636444	0.007340097616205338	-0.16228701790000005	-0.3558264460897299	0.7238191457262272	0.8643156324851853
STX10	0.46984937451737374	7.890817137444508	2.7049330185957593e-12	8.240953494889853e-11	0.06008050190000029	0.5078078389797801	0.6143453810625071	0.7940350421127045
STX11	-0.45612383397683326	-4.309721791135503	3.6345332722230476e-5	1.5068039312115104e-4	-0.3536735969999994	-1.1713998529916052	0.24829040729550805	0.4795827765849038
STX12	0.019691667953667655	0.28026855681988255	0.779810557869298	0.8283226263650978	0.11307820084999985	0.9744199859175248	0.3356380758596853	0.57083681302639655
STX16	0.27589699227799214	5.152521791523142	1.1759517123863112e-6	7.113592213442555e-6	0.3130178979999983	3.094271625779035	0.0035709810231849054	0.032379970903435286
STX17	-0.1534873474903468	-2.04542829362293	0.04325652339007478	0.07451961299630132	0.029347418049999834	0.28307157882398	0.7785652582582954	0.8951442950788953
STX17-AS1	-0.1110902200772193	-2.215976603021733	0.028802284660217736	0.05242541194993862	-0.16046182755000007	-0.4644320333561358	0.6448277405744395	0.8147798067241121
STX18	0.050193509652509544	0.7826491628372044	0.4355553036227935	0.5209564260024538	-0.0842148181500003	-0.66524424429179	0.5096688759174722	0.719036711708462
STX18-AS1	-0.07310095366795354	-1.797993324112102	0.07498734809045898	0.11908306198070917	-0.020807480800000052	-0.060116622099512296	0.952358714060553	0.9783084202379679
STX19	-0.04467441698841688	-1.3310286432277003	0.18599806094805524	0.25705310163932943	-0.1674327830000006	-0.8561688043664458	0.39694670747449035	0.626105993639075
STX1A	0.28196391891891875	5.286322009308975	6.611058422022713e-7	4.290285019518499e-6	-0.2150698859499997	-0.7653128069775017	0.44852668160011866	0.669994418291334
STX1B	-0.14239722007722025	-3.343725159901688	0.0011388113994632507	0.003148271535405084	-0.11367906480000013	-0.26480235287989473	0.792506101197397	0.9022549442270883
STX2	-0.05046939382239384	-0.6395741542164091	0.5238112869512976	0.6040964333077923	0.48898278905000003	3.1769952130273738	0.002847898212196293	0.027974164566961435
STX3	0.026111019305019578	0.25131671800973343	0.8020494388943613	0.8467353285255541	0.11214182889999975	0.35139593410734105	0.7271147118693286	0.8657795351301936
