dataset	score	n_tumor	n_non_tumor	delta_tumor_minus_nontumor	cohens_d	p_value	AUC	AUC_low	AUC_high	module_size	topN	delta
GSE76427	HCCStateScore	115	52	2.3966974448933307	3.4141491601148632	5.588293487019802e-39	0.9705685618729096	0.9408709433327552	1	15	15	2.3966974448933307
GSE36376	HCCStateScore	240	193	2.5593387441767224	4.656069914645848	4.384029243761547e-178	0.9918825561312608	0.9830626107717246	1	15	15	2.5593387441767224
GSE57957	HCCStateScore	39	39	2.3272501836124047	2.855695752846886	3.789886758540481e-20	0.9434582511505588	0.878885195789322	1	15	15	2.3272501836124047
GSE45267	HCCStateScore	46	41	3.0882786907527544	4.196193423184725	4.653718213922477e-25	0.9618239660657476	0.9147865106389776	1	15	15	3.0882786907527544
GSE112790	HCCStateScore	183	15	4.156917904549794	4.5136393892026785	2.1108049029133665e-22	0.9963570127504554	0.99056117981907	1	15	15	4.156917904549794
GSE121248	HCCStateScore	70	37	3.19336227847749	3.668804742281132	1.611704347165297e-31	0.9613899613899616	0.9073290308301744	1	20	20	3.19336227847749
GSE41804	HCCStateScore	20	20	2.7828501576989	2.7492029234394315	2.5724712306512826e-10	0.9625	0.9010323098514686	1	20	20	2.7828501576989
GSE14520	HCCStateScore	225	220	3.007498311572094	4.930854620125573	1.0563319505281279e-187	0.9906464646464648	0.9824574008749172	0.9988355284180122	20	20	3.007498311572094
GSE25097	HCCStateScore	268	289	2.7086847189915013	4.441232100012188	4.436413158182497e-212	0.9980116717450808	0.995874602666718	1	20	20	2.7086847189915013
GSE76427	HCCStateScore	115	52	2.4748605774458134	3.4062923842469734	9.317418500431477e-42	0.975752508361204	0.9522907118465068	0.9992143048759012	20	20	2.4748605774458134
GSE36376	HCCStateScore	240	193	2.571846547435946	4.594178104828436	2.431034206336495e-168	0.9933721934369604	0.9852135450968724	1	20	20	2.571846547435946
GSE57957	HCCStateScore	39	39	2.3713503703261867	2.800631863225192	1.4418284273546497e-19	0.9401709401709402	0.8726484683160558	1	20	20	2.3713503703261867
GSE45267	HCCStateScore	46	41	3.1047681281378	4.117507993331729	2.1162470519811387e-25	0.9612937433722164	0.914076587740412	1	20	20	3.1047681281378
GSE112790	HCCStateScore	183	15	4.090666683716438	4.257223569335483	1.3873076802934922e-23	0.9959927140255008	0.989589309779294	1	20	20	4.090666683716438
GSE121248	HCCStateScore	70	37	3.1406989332030575	3.6023545061950224	1.1318923083835473e-31	0.9621621621621622	0.9085301012300986	1	30	30	3.1406989332030575
GSE41804	HCCStateScore	20	20	2.736742622374277	2.773468793791712	2.5601727662922767e-10	0.97	0.91833954152191	1	30	30	2.736742622374277
GSE14520	HCCStateScore	225	220	2.9166983250390044	4.891974947700424	1.3169555475707875e-177	0.9903838383838384	0.9821524403510984	0.9986152364165786	30	30	2.9166983250390044
GSE25097	HCCStateScore	268	289	2.609728220939263	4.411603945115059	1.1619670649741478e-202	0.9976630687393484	0.995050582575964	1	30	30	2.609728220939263
GSE76427	HCCStateScore	115	52	2.3970163124703916	3.4444521755506763	2.3116055360412372e-45	0.9789297658862876	0.9577902374035452	1	30	30	2.3970163124703916
GSE36376	HCCStateScore	240	193	2.5118232381874925	4.678760753791185	4.773393523763193e-167	0.9939119170984456	0.9858113169903095	1	30	30	2.5118232381874925
GSE57957	HCCStateScore	39	39	2.2525735342370043	2.8757124978912203	8.346413615367549e-20	0.9414858645627876	0.8751286117218819	1	30	30	2.2525735342370043
GSE45267	HCCStateScore	46	41	3.0388792678226566	4.005116337387539	3.1718557980136764e-26	0.9612937433722164	0.9129869616378812	1	30	30	3.0388792678226566
GSE112790	HCCStateScore	183	15	3.9445623569244614	4.108777062638068	5.160767780151143e-29	0.9941712204007288	0.9839989360013064	1	30	30	3.9445623569244614
GSE121248	HCCStateScore	70	37	3.059930774203403	3.5769831516492747	2.942615520266678e-32	0.964092664092664	0.9133161278242756	1	50	50	3.059930774203403
GSE41804	HCCStateScore	20	20	2.6826952947992027	2.830736222260936	1.7722009628716104e-10	0.97	0.9218857152752304	1	50	50	2.6826952947992027
GSE14520	HCCStateScore	225	220	2.860871811082089	4.926824109514229	6.8025797312989245e-177	0.9903030303030304	0.9822187777309134	0.9983872828751472	50	50	2.860871811082089
GSE25097	HCCStateScore	268	289	2.5551522926927266	4.28159984487002	3.4555598857853985e-197	0.9969787739503176	0.9938475157923252	1	50	50	2.5551522926927266
GSE76427	HCCStateScore	115	52	2.3247643156882143	3.468382548665606	9.141018413970265e-46	0.9790969899665553	0.9590065552408792	0.9991874246922312	50	50	2.3247643156882143
GSE36376	HCCStateScore	240	193	2.380758203685324	4.723286460286453	3.492651007054094e-165	0.9946459412780656	0.9874665283808772	1	50	50	2.380758203685324
GSE57957	HCCStateScore	39	39	2.155002281465644	2.999883926677831	1.3284974445853115e-20	0.94543063773833	0.8821101407299249	1	50	50	2.155002281465644
GSE45267	HCCStateScore	46	41	2.9408951563748524	3.8907195873799494	2.78199686054979e-26	0.9581124072110286	0.9062693919452977	1	50	50	2.9408951563748524
GSE112790	HCCStateScore	183	15	3.7442037090458498	3.9632314452078456	1.3911659602239718e-34	0.9941712204007288	0.9839989360013064	1	50	50	3.7442037090458498
