analysis_role	injury_set	injury_gene_file	n_input_genes	n_overlap_genes	sample_id	tissue	HBV_INJURY	E2F	G2M	CIBERSORTx_PC1	CIBERSORTx_PC2	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428746	tumor	-0.32057208657682185	0.13619505875259375	-0.13350715769176302	-0.06648255205051763	0.4699089089777721	0	0.0890490391343327	0.0767177943350721	0.112988664922653	0	0.0600365132163587	0	0.0583981558318657	0.0421092469459934	0	0	0.0634332319810096	0.00691699001375955	0.0154537158340165	0.0307576747304107	0.351638579747149	0.0277285801145671	0	0	0.0411233485844424	0	0.0236484646083702
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428747	tumor	-0.018398571187522042	0.4422314712972772	0.41339656419153126	-4.795487544760355	0.6091396592973735	0.0625423569064685	0	0.0639239328806287	0	0	0.368910803584629	0	0.0620386378322703	0.0714472507187529	0	0.0597150673783254	0.0189892308863469	0.0671429089761316	0.0339580105661594	0.042848099811257	0.0938287386808948	0.00181485602996007	0.0454423620755171	0	0.00453221748473776	0	0.00286552618792064
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428748	tumor	0.08679862132348205	0.007542862070225254	-0.12023955589270519	-0.454823756639775	-0.5605609011262961	0.0318879334350145	0	0.142035874618594	0.151210890652897	0	0.0358781120436108	0	0.0785154824490306	0.0159021319234829	0	0	0.0435916687874495	0.0277266900353973	0	0.220337227300396	0.183382689174491	0	0.0375851012211351	0.00120894704651058	0	0	0.0307372513119899
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428749	tumor	2.0864739221013004	-0.4561730942581188	-0.31823647921034054	1.620329322374351	2.9620438428020592	0	0.0189541801020644	0.0141919804730918	0.0183716163933674	0	0.065260371291977	0	0.0114314763274372	0	0.0227730838147476	0	0.0105888677181348	0	0.43003871762977	0.00339796508858849	0.318591729593211	0	0	0	0.0681354853008789	0.00600772031615417	0.0122568059505772
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428750	tumor	-1.1182503798220997	0.2773781516583492	0.18254841808189687	-1.1801358342831099	-0.5484467799453902	0.052729769398913	0	0.0696870517625992	0.137798992119032	0	0	0	0.220071553474422	0.00702687928182911	0	0.0117118114234923	0.0568175769131795	0.0478206476950683	0	0.00636344756828872	0.314446315694134	0	0.0201479171916627	0.0025096012245237	0.0528684362528546	0	0
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428751	tumor	0.19877522657197388	-0.15040923821479557	-0.1212624469590707	-3.2214877480992192	1.3624065676686956	0.0446885994875472	0	0.0176711566391137	0.0402345112800885	0	0.185468203743722	0	0.0113352314710507	0.0855131559783949	0	0.0376302665586912	0.0424094929391221	0.0297077299584625	0	0.0889902064751647	0.279083440370183	0.00588734469621676	0.0393724966592027	0	0.0671996929649021	0	0.0248084707781379
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428752	tumor	0.43738342023331955	0.4401426598602687	0.47272299584332833	-0.5400883928989684	1.1913228973289693	0.00692010672886003	0.0479402113738566	0.0738651742904066	0.0412081772095811	0	0.143565618412763	0	0.0991539694221395	0.0106577370616958	0	0	0.0754521580487835	0	0.11918300623935	0.066072363731829	0.108057024406699	0.026651864740126	0	0	0.014203964840798	0	0.167068623493112
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428753	tumor	-0.7985812097424846	-0.18057835208081735	-0.30332065070135156	-1.4155871477492092	-1.7667596729065786	0.0456425686195698	0	0.0618023714794633	0.122898430318318	0	0.0287967451421468	0	0.0216220022326932	0.119103067639636	0	0.0504355986394502	0.0405411223946407	0.050131532371577	0	0.150586594402022	0.243088546724806	0	0	0.0591572619624822	0	0	0.0061941580731943
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428754	tumor	-0.5778957932788356	0.27134497564373866	0.23047795912917063	-1.6888059154910318	-0.6111047367405148	0.0836921570810846	0	0.0551068456396291	0.12328607572816	0	0.118977674141109	0	0.0649163256055108	0.119368687603042	0	0	0.0776593688782643	0.0558109129104996	0	0.0689995936739959	0.128985383562985	0	0.07566994684816	0.00804751641517882	0	0	0.0194795119123803
topN_sensitivity	HBV_INJURY_TOP_200	results/tables/HBV_INJURY_TOP_200_gene_set.tsv	200	200	GSM3428755	tumor	-0.2942346465057905	-0.6173212927157766	-0.559995524520643	1.042348423017942	-3.7871320333230774	0.0081780291041159	0.0484429462587153	0.133182336981832	0.0850705906427609	0	0.256764118360496	0	0	0	0	0.0177438357353819	0.0753506348429182	0.0701436237990772	0	0.095291807979653	0.130746339014208	0.020017020238153	0	0.0590687170426882	0	0	0
