pathway	sample_id	z_score	tissue
MYC TARGETS V1	GSM3428773	0.4942762381713225	tumor
MYC TARGETS V1	GSM3428774	0.22064251564014867	tumor
MYC TARGETS V1	GSM3428775	1.1573369492957823	tumor
MYC TARGETS V1	GSM3428776	1.4644289321840267	tumor
MYC TARGETS V1	GSM3428777	0.8555378244977615	tumor
MYC TARGETS V1	GSM3428778	1.2367103503811632	tumor
MYC TARGETS V1	GSM3428779	1.1546461295293342	tumor
MYC TARGETS V1	GSM3428780	0.9018634322257878	tumor
MYC TARGETS V1	GSM3428781	1.133369333139296	tumor
MYC TARGETS V1	GSM3428782	0.44357661669972687	tumor
MYC TARGETS V1	GSM3428783	1.2418433242107254	tumor
MYC TARGETS V1	GSM3428784	1.1674239588389024	tumor
MYC TARGETS V1	GSM3428785	-1.5045124790536826	tumor
G2M CHECKPOINT	GSM3428786	-1.165320169505129	non_tumor
G2M CHECKPOINT	GSM3428787	-1.157988632443397	non_tumor
G2M CHECKPOINT	GSM3428788	-0.16247167595331102	non_tumor
G2M CHECKPOINT	GSM3428789	1.5131350447768184	non_tumor
G2M CHECKPOINT	GSM3428790	-0.4801624192655402	non_tumor
G2M CHECKPOINT	GSM3428791	-0.9518679273132344	non_tumor
G2M CHECKPOINT	GSM3428792	-0.9174369570876941	non_tumor
G2M CHECKPOINT	GSM3428793	-1.0985822015205977	non_tumor
G2M CHECKPOINT	GSM3428794	-1.1858971109109602	non_tumor
G2M CHECKPOINT	GSM3428795	-1.2721565070149923	non_tumor
G2M CHECKPOINT	GSM3428796	-1.4101351356174567	non_tumor
G2M CHECKPOINT	GSM3428797	-1.010539954002232	non_tumor
G2M CHECKPOINT	GSM3428798	-1.2885478978715672	non_tumor
G2M CHECKPOINT	GSM3428799	-1.1568172603425002	non_tumor
G2M CHECKPOINT	GSM3428800	-1.0838092024169632	non_tumor
G2M CHECKPOINT	GSM3428801	-0.9450685905750178	non_tumor
G2M CHECKPOINT	GSM3428802	-0.5667579930814066	non_tumor
G2M CHECKPOINT	GSM3428803	-0.3997292227461085	non_tumor
G2M CHECKPOINT	GSM3428804	-0.9825127825921663	non_tumor
G2M CHECKPOINT	GSM3428805	-1.1203523016831236	non_tumor
G2M CHECKPOINT	GSM3428806	-1.040890131589617	non_tumor
G2M CHECKPOINT	GSM3428807	-0.5832295593728662	non_tumor
G2M CHECKPOINT	GSM3428808	-1.3651692586044184	non_tumor
G2M CHECKPOINT	GSM3428809	-0.585272335504729	non_tumor
G2M CHECKPOINT	GSM3428810	-0.997448726114986	non_tumor
G2M CHECKPOINT	GSM3428811	-1.1647684866915273	non_tumor
G2M CHECKPOINT	GSM3428812	-0.7875025909470907	non_tumor
G2M CHECKPOINT	GSM3428813	-1.1355372127203027	non_tumor
G2M CHECKPOINT	GSM3428814	-1.0103352528457148	non_tumor
G2M CHECKPOINT	GSM3428815	-1.2766254022852364	non_tumor
G2M CHECKPOINT	GSM3428816	-1.2118544523001806	non_tumor
G2M CHECKPOINT	GSM3428817	-1.175022380959632	non_tumor
G2M CHECKPOINT	GSM3428818	-1.1985949551762165	non_tumor
G2M CHECKPOINT	GSM3428819	-0.33779574953337865	non_tumor
G2M CHECKPOINT	GSM3428820	-1.3390724942641148	non_tumor
G2M CHECKPOINT	GSM3428821	-1.3790225155468119	non_tumor
G2M CHECKPOINT	GSM3428822	-0.9217141109192177	non_tumor
G2M CHECKPOINT	GSM3428716	0.8553866639600105	tumor
G2M CHECKPOINT	GSM3428717	0.9987231408655594	tumor
G2M CHECKPOINT	GSM3428718	1.015825043189839	tumor
G2M CHECKPOINT	GSM3428719	1.2580654569095737	tumor
G2M CHECKPOINT	GSM3428720	0.6620955573469032	tumor
G2M CHECKPOINT	GSM3428721	0.23029675303472968	tumor
G2M CHECKPOINT	GSM3428722	1.4458428719627474	tumor
G2M CHECKPOINT	GSM3428723	0.9723563937213724	tumor
G2M CHECKPOINT	GSM3428724	-1.3545824412148717	tumor
G2M CHECKPOINT	GSM3428725	0.4745042905562639	tumor
G2M CHECKPOINT	GSM3428726	-0.5057802933817522	tumor
G2M CHECKPOINT	GSM3428727	1.110906182963768	tumor
G2M CHECKPOINT	GSM3428728	1.158832883616598	tumor
G2M CHECKPOINT	GSM3428729	0.07454108470743603	tumor
G2M CHECKPOINT	GSM3428730	-1.314720552327516	tumor
G2M CHECKPOINT	GSM3428731	-0.37451873348144005	tumor
G2M CHECKPOINT	GSM3428732	1.0216451795991288	tumor
G2M CHECKPOINT	GSM3428733	0.283719897690807	tumor
G2M CHECKPOINT	GSM3428734	0.6920032790161205	tumor
G2M CHECKPOINT	GSM3428735	-0.3063610515352574	tumor
G2M CHECKPOINT	GSM3428736	0.4348158410238088	tumor
G2M CHECKPOINT	GSM3428737	-0.7763287729255102	tumor
G2M CHECKPOINT	GSM3428738	1.7088779851890903	tumor
G2M CHECKPOINT	GSM3428739	0.7049280896327554	tumor
G2M CHECKPOINT	GSM3428740	0.008869282289583912	tumor
G2M CHECKPOINT	GSM3428741	0.516016357253862	tumor
G2M CHECKPOINT	GSM3428742	-0.4939624254211299	tumor
G2M CHECKPOINT	GSM3428743	-0.4717902923742529	tumor
G2M CHECKPOINT	GSM3428744	1.2287399112430168	tumor
G2M CHECKPOINT	GSM3428745	1.1576519350134622	tumor
G2M CHECKPOINT	GSM3428746	-0.2669161387225288	tumor
G2M CHECKPOINT	GSM3428747	1.121883730436808	tumor
G2M CHECKPOINT	GSM3428748	-0.2332245712577133	tumor
G2M CHECKPOINT	GSM3428749	-0.7360152640154446	tumor
G2M CHECKPOINT	GSM3428750	0.535671089556024	tumor
G2M CHECKPOINT	GSM3428751	-0.23582208691228002	tumor
G2M CHECKPOINT	GSM3428752	1.2725364636674077	tumor
G2M CHECKPOINT	GSM3428753	-0.6981382120722738	tumor
G2M CHECKPOINT	GSM3428754	0.6573827138728271	tumor
G2M CHECKPOINT	GSM3428755	-1.3499348938523799	tumor
G2M CHECKPOINT	GSM3428756	0.9273730113116847	tumor
G2M CHECKPOINT	GSM3428757	1.3463002449695343	tumor
G2M CHECKPOINT	GSM3428758	0.2868973954833775	tumor
G2M CHECKPOINT	GSM3428759	-0.6585148676023537	tumor
G2M CHECKPOINT	GSM3428760	-0.30267766884674024	tumor
G2M CHECKPOINT	GSM3428761	1.2361373460709866	tumor
G2M CHECKPOINT	GSM3428762	1.3758839150411928	tumor
G2M CHECKPOINT	GSM3428763	1.2380576630506472	tumor
G2M CHECKPOINT	GSM3428764	-0.9356693309405794	tumor
G2M CHECKPOINT	GSM3428765	1.3588467276513025	tumor
G2M CHECKPOINT	GSM3428766	0.8288687820097297	tumor
G2M CHECKPOINT	GSM3428767	1.6072776333458387	tumor
G2M CHECKPOINT	GSM3428768	1.3514791798859582	tumor
G2M CHECKPOINT	GSM3428769	-0.39243296292642216	tumor
G2M CHECKPOINT	GSM3428770	1.2205278981241052	tumor
G2M CHECKPOINT	GSM3428771	0.32991060020430624	tumor
G2M CHECKPOINT	GSM3428772	0.8243689400213613	tumor
G2M CHECKPOINT	GSM3428773	0.9820552659106808	tumor
G2M CHECKPOINT	GSM3428774	0.4037210540403384	tumor
G2M CHECKPOINT	GSM3428775	0.8335876728051139	tumor
G2M CHECKPOINT	GSM3428776	1.4544614192645577	tumor
G2M CHECKPOINT	GSM3428777	0.6334624871400746	tumor
G2M CHECKPOINT	GSM3428778	1.247746558888283	tumor
G2M CHECKPOINT	GSM3428779	0.694120969556543	tumor
G2M CHECKPOINT	GSM3428780	1.1343962329105879	tumor
G2M CHECKPOINT	GSM3428781	1.1667953693502948	tumor
G2M CHECKPOINT	GSM3428782	0.20178967790285468	tumor
G2M CHECKPOINT	GSM3428783	1.6471471778323181	tumor
G2M CHECKPOINT	GSM3428784	1.231636284053257	tumor
G2M CHECKPOINT	GSM3428785	-1.404702512791363	tumor
DNA REPAIR	GSM3428786	-0.8424803723437249	non_tumor
DNA REPAIR	GSM3428787	-1.1534065642408091	non_tumor
DNA REPAIR	GSM3428788	0.6490545565168363	non_tumor
DNA REPAIR	GSM3428789	1.6090187780751113	non_tumor
DNA REPAIR	GSM3428790	-0.9346778075318665	non_tumor
DNA REPAIR	GSM3428791	-0.8484262657523206	non_tumor
DNA REPAIR	GSM3428792	-0.6769655625406485	non_tumor
DNA REPAIR	GSM3428793	-1.2220522665205618	non_tumor
DNA REPAIR	GSM3428794	-1.0418532272887668	non_tumor
DNA REPAIR	GSM3428795	-0.3928065458001056	non_tumor
DNA REPAIR	GSM3428796	-1.3225864673245842	non_tumor
DNA REPAIR	GSM3428797	-0.36871477480689296	non_tumor
DNA REPAIR	GSM3428798	-1.1302139193261227	non_tumor
DNA REPAIR	GSM3428799	-0.6136160064234353	non_tumor
DNA REPAIR	GSM3428800	-0.48706539956969425	non_tumor
DNA REPAIR	GSM3428801	-1.0172750642725437	non_tumor
DNA REPAIR	GSM3428802	-0.35012074259540976	non_tumor
DNA REPAIR	GSM3428803	-0.7821153305005358	non_tumor
