gene	logFC	AveExpr	t	p_value	FDR	B	dataset
MIR4271	-0.19038272779999932	9.84524846215	-1.576161905360394	0.12277622449958604	0.31524447728275434	-5.133491635487292	GSE41804
MIR4290HG	0.46930649249999945	2.48849372185	0.8105705620449214	0.42235462265394097	0.6493721965674072	-6.005706214022158	GSE41804
MIR4296	-0.3782215793499998	3.9704751151249997	-0.7154239471016911	0.47845553763911697	0.6953774070117196	-6.076719608019291	GSE41804
MIR4300HG	0.31646341635000036	3.698839263425	0.5993946803186283	0.552251594420383	0.7511961564173706	-6.151615037260661	GSE41804
MIR4307HG	0.8183257286500001	3.119708823925	1.4392699765907042	0.15776619097445893	0.3665372158781806	-5.327133636729134	GSE41804
MIR4313	-0.9243989046500006	2.728436870575	-1.8679212399777274	0.06902745690557444	0.21952547807996503	-4.670037565664103	GSE41804
MIR4321	0.4488362812999992	5.7451907912	1.4996852813009272	0.14145915479366777	0.3428203603014892	-5.243603073205633	GSE41804
MIR4435-2HG	1.5254786761999988	5.799403522	5.05054510717542	9.819593904007325e-6	7.21874953066667e-4	3.4013489519122206	GSE41804
MIR4453	0.6008850884500003	5.174704356375	2.1225672379962557	0.0399582321654187	0.15510553609820718	-4.212371940868065	GSE41804
MIR4454	0.4569879078500003	5.2596870263249995	1.113452723722784	0.27208533315799216	0.5045745831368541	-5.723264410449558	GSE41804
MIR4458	-0.17915208014999978	8.161604082075	-0.5845931986164884	0.5620671242824257	0.7580410348860542	-6.160237003869507	GSE41804
MIR4467	-0.01610180884999956	7.815079053175	-0.10115439883454451	0.9199275140307905	0.9630484245012652	-6.32406258648694	GSE41804
MIR4500HG	-0.2268632321499993	3.140602226425	-0.361506328066294	0.7196020202311638	0.8616656025469626	-6.264378049818847	GSE41804
MIR452	0.5632686258999992	8.8054512836	1.2244502358068674	0.2278641417780959	0.45576183075364873	-5.5988004944697884	GSE41804
MIR4640	-0.16023812880000024	8.2562191667	-0.5639416987445937	0.5759065936554895	0.7668656377833446	-6.171912520112473	GSE41804
MIR4647	0.3527827126999996	10.76666600085	2.0431459693528837	0.04758830633713901	0.17310843273441218	-4.360196038321277	GSE41804
MIR4656	0.18004469194999995	9.516496661525	1.2417705098604979	0.2214716349930403	0.44798866123905107	-5.578389108638461	GSE41804
MIR4657	-0.04412602830000004	10.59372909155	-0.31734939247344995	0.752610422678359	0.8793594226364297	-6.279213983308614	GSE41804
MIR4680	-0.119138326	12.3145578285	-0.9791317100747675	0.3333334394407014	0.5682341225210737	-5.858982168479162	GSE41804
MIR4683	-0.45851447874999923	7.431983697075	-1.6437125305925064	0.10798511442242215	0.2908258256816824	-5.0322306776177435	GSE41804
MIR4697	-0.14076291884999995	4.442338861025	-0.38185437717218834	0.7045676236129891	0.852448880999528	-6.256896148361481	GSE41804
MIR4707	0.24255001349999936	9.8709737529	0.9817189034219685	0.3320724866092334	0.5670375543827253	-5.856524224011255	GSE41804
MIR4723	0.4730269287499994	8.325540594375001	2.781707814648594	0.008174254459917115	0.056022229762626656	-2.8245958430963793	GSE41804
MIR4738	-0.043406413	13.508921538	-0.329086831715834	0.743787511606512	0.8746645312449475	-6.2754576763945895	GSE41804
MIR4745	0.0991951550000004	10.903296583	0.8544038504569604	0.3979120286308109	0.6271063495502323	-5.9701089992548555	GSE41804
