sample_id	ProlifHubScore	HepLossScore	HCCStateScore	patient	tissue	sample_type_text	file_path
TCGA-DD-A1EE-11A-11R-A131-07	-1.3516059109277379	1.738565932060632	-3.0901718429883696	TCGA-DD-A1EE	non_tumor	Solid Tissue Normal	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/448a4db4-c17f-4838-b864-7a776e4b5505/b0271a8a-4b7d-4689-98d3-1378840b485d.rna_seq.augmented_star_gene_counts.tsv
TCGA-DD-A1EE-01A-11R-A131-07	0.4667474355542749	-0.540870442179391	1.007617877733666	TCGA-DD-A1EE	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/715b5ec9-5c2c-4dac-b9f6-ba459743a377/767f0df2-87ec-42d7-a644-f0b955be14e5.rna_seq.augmented_star_gene_counts.tsv
TCGA-DD-A119-01A-11R-A131-07	-0.4373997613188318	-0.4165146541982678	-0.020885107120564017	TCGA-DD-A119	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/6a40d8bb-f30a-4802-8043-431551c2ca51/4b5b50cd-2bcf-4c8a-b5d7-09adeef205fd.rna_seq.augmented_star_gene_counts.tsv
TCGA-BC-A10Z-11A-11R-A131-07	-1.3970373050205003	1.334671299295607	-2.731708604316107	TCGA-BC-A10Z	non_tumor	Solid Tissue Normal	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/6e36807b-e15a-416b-bded-7202a9dab757/53cdad59-2abc-49cb-8757-ca9d1fee5c1c.rna_seq.augmented_star_gene_counts.tsv
TCGA-DD-A1EG-01A-11R-A213-07	0.4010235482763961	-0.5545681917681312	0.9555917400445273	TCGA-DD-A1EG	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/3a4353b6-a5ad-4950-be98-c0900e196144/72134fea-d641-43dd-9580-ef3ef06a5060.rna_seq.augmented_star_gene_counts.tsv
TCGA-DD-AAVQ-01A-11R-A41C-07	0.6319397672425959	-0.14371646889821707	0.775656236140813	TCGA-DD-AAVQ	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/1e1587e8-8938-4578-8529-0831573a9fe1/a5b5b737-3f68-49a0-ac50-2884dbb90496.rna_seq.augmented_star_gene_counts.tsv
TCGA-BC-A10T-11A-11R-A131-07	-1.61352370633171	1.6395106284896788	-3.253034334821389	TCGA-BC-A10T	non_tumor	Solid Tissue Normal	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/0dbea4cc-32b6-42af-b4f0-fa0a67b05a7f/ebbdae1d-a199-4577-a73a-77e9c6a55a92.rna_seq.augmented_star_gene_counts.tsv
TCGA-ED-A7PZ-01A-11R-A33R-07	0.17501533454644722	-0.6502908173069826	0.8253061518534298	TCGA-ED-A7PZ	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/6f5328d3-7a56-4da1-b2b3-fae1bc627626/b952371d-4fcd-4df6-8aca-af126cb09e3e.rna_seq.augmented_star_gene_counts.tsv
TCGA-4R-AA8I-01A-11R-A38B-07	0.2744847275533163	0.0023100835384886166	0.2721746440148277	TCGA-4R-AA8I	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/82dd1ddd-d629-492f-8f9c-14382a82de96/495c8ae2-4d4d-49ac-9b0a-3081f02fd041.rna_seq.augmented_star_gene_counts.tsv
TCGA-3K-AAZ8-01A-12R-A39D-07	-0.44974848076558327	-0.33043483691581665	-0.11931364384976662	TCGA-3K-AAZ8	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/8c797f41-9dea-4121-8dc3-8b1fa10503a7/fc47ffc6-4a8e-446e-91d9-e983362c6dfe.rna_seq.augmented_star_gene_counts.tsv
TCGA-ED-A627-01A-12R-A311-07	-0.43794731560302685	1.7810542938675955	-2.2190016094706224	TCGA-ED-A627	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/ebd9a9d0-c711-42e3-a382-9ef1fb5b7184/6d45b3c6-aff6-4849-be65-6bdd64dc2002.rna_seq.augmented_star_gene_counts.tsv
TCGA-2Y-A9GS-01A-12R-A38B-07	0.9763063340213404	-0.4099132050333806	1.386219539054721	TCGA-2Y-A9GS	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/d1b00628-da8a-4b57-a162-97129cf1ba73/4b0c5f90-5ce7-4f70-b5ef-6bd77ed04534.rna_seq.augmented_star_gene_counts.tsv
TCGA-ED-A82E-01A-11R-A352-07	-0.1765275807056973	-0.49404004890234415	0.31751246819664686	TCGA-ED-A82E	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/23814830-d159-432d-adbc-d834cc5eb4fd/10616d35-3bf7-4468-8b42-4eb662d5981f.rna_seq.augmented_star_gene_counts.tsv
TCGA-2Y-A9H3-01A-11R-A38B-07	-0.5988086260881724	-0.2598202338062819	-0.33898839228189054	TCGA-2Y-A9H3	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/e106f526-1eda-40aa-80e8-ac417b0a8fb5/974d3345-ad1d-49c6-a55d-bbe364b5a44e.rna_seq.augmented_star_gene_counts.tsv
TCGA-DD-A3A4-11A-11R-A22L-07	-1.1952891780055699	2.4473924125310003	-3.6426815905365704	TCGA-DD-A3A4	non_tumor	Solid Tissue Normal	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/1314e20d-d48f-4c6c-b208-897bbf4cc147/c30fdec0-6bbc-4719-ad1e-ff1e15eae98e.rna_seq.augmented_star_gene_counts.tsv
TCGA-DD-AACE-01A-11R-A41C-07	-0.08818424538646476	-0.5735546842990507	0.4853704389125859	TCGA-DD-AACE	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/f5f24dbe-e9a3-4a88-8286-dfeb8bc10d87/2047f29d-1d05-4124-b53c-0eba9c81871c.rna_seq.augmented_star_gene_counts.tsv
TCGA-DD-A113-01A-11R-A131-07	0.5070982520048408	-0.6616562185356892	1.16875447054053	TCGA-DD-A113	tumor	Primary Tumor	GDCdata/TCGA-LIHC/Transcriptome_Profiling/Gene_Expression_Quantification/dcffbcbe-e490-4bcf-95db-d454bf8df300/056653c5-a60b-424e-ab30-b16246283da3.rna_seq.augmented_star_gene_counts.tsv
