gene	beta_injury_index	AveExpr	t	p_value	FDR	B	logFC	P.Value	adj.P.Val
HSPA12B	-0.0085748997576656	5.1766953125	-0.2430840316674886	0.8083212356807193	0.8626931527702232	-6.560321640103215	-0.0085748997576656	0.8083212356807193	0.8626931527702232
ZFY	-0.02875039927921526	3.953351796875	-0.24296345331711933	0.8084144449347037	0.8627503027358392	-6.560350607401188	-0.02875039927921526	0.8084144449347037	0.8627503027358392
LOC100129455	-0.005221753552607039	2.420160078125	-0.24287343778908774	0.8084840303652225	0.8627822366824316	-6.560372223038496	-0.005221753552607039	0.8084840303652225	0.8627822366824316
KCNG2	-0.0072214827350949445	4.223900078125	-0.24266437466298443	0.8086456500328535	0.8629123779820782	-6.560422394975105	-0.0072214827350949445	0.8086456500328535	0.8629123779820782
HIST1H2BH	0.009044173779139795	5.880670625	0.24250386190386622	0.8087697426502987	0.8630024630566049	-6.560460886276167	0.009044173779139795	0.8087697426502987	0.8630024630566049
STARD10	-0.008242894625891804	9.81431328125	-0.24236889206037104	0.8088740917728775	0.8630714729158485	-6.560493232637857	-0.008242894625891804	0.8088740917728775	0.8630714729158485
MORC1	-0.004502061758309023	1.986205234375	-0.2421148100063309	0.8090705393463329	0.8632387405533047	-6.560554076166811	-0.004502061758309023	0.8090705393463329	0.8632387405533047
CASC2	0.006116679401513169	3.403840859375	0.24192039461180728	0.8092208629156502	0.86335678213763	-6.560600588615061	0.006116679401513169	0.8092208629156502	0.86335678213763
KLHDC9	0.006720532803556321	6.888499296875	0.2414641304222442	0.8095736780673681	0.863661013467054	-6.560709599849579	0.006720532803556321	0.8095736780673681	0.863661013467054
HPD	-0.006447580846415113	11.99067734375	-0.24144894149090496	0.8095854238774742	0.863661013467054	-6.560713225272704	-0.006447580846415113	0.8095854238774742	0.863661013467054
LOC101928651	-0.006523340380332166	3.140526953125	-0.24082811100490953	0.8100655577550018	0.864130839439219	-6.560861215374144	-0.006523340380332166	0.8100655577550018	0.864130839439219
C18ORF12	0.007946822443855322	4.325797890625	0.24076060576584646	0.8101177688832502	0.8641441586091962	-6.560877283949701	0.007946822443855322	0.8101177688832502	0.8641441586091962
LOC100129449	-0.006747389443455895	3.9596125	-0.24058027099696386	0.8102572508667467	0.8642505628177082	-6.5609201877744745	-0.006747389443455895	0.8102572508667467	0.8642505628177082
LEMD1-AS1	-0.0067885702287378965	2.910442109375	-0.24048142266751277	0.8103337088208308	0.8642897361107885	-6.5609436913608326	-0.0067885702287378965	0.8103337088208308	0.8642897361107885
CSAG2	0.007808787023384621	3.89894265625	0.24041321371343216	0.8103864686663911	0.8643036307560308	-6.560959904065968	0.007808787023384621	0.8103864686663911	0.8643036307560308
ABHD11	-0.005666871858757647	6.54314921875	-0.2399851357187057	0.8107176082600869	0.864614410574186	-6.561061549757379	-0.005666871858757647	0.8107176082600869	0.864614410574186
PDZD7	0.006113990162482026	3.19956890625	0.23977920947879933	0.8108769146459539	0.8647419121626353	-6.561110381782754	0.006113990162482026	0.8108769146459539	0.8647419121626353
ACVR2B	-0.008430520576595716	6.4391753125	-0.2396585978220555	0.8109702245848358	0.864794877383226	-6.561138963406989	-0.008430520576595716	0.8109702245848358	0.864794877383226
HECW1-IT1	-0.004250856351858055	2.050023828125	-0.23961223805918672	0.8110060910503292	0.864794877383226	-6.561149945565015	-0.004250856351858055	0.8110060910503292	0.864794877383226
PRDX3	0.0035745995745359287	11.6750234375	0.23948227908477898	0.8111066366084756	0.8648596963944988	-6.561180720213266	0.0035745995745359287	0.8111066366084756	0.8648596963944988
WSCD2	0.007134973069873377	4.504678359375	0.23878426228475091	0.8116467262190208	0.8653931592707753	-6.561345727136575	0.007134973069873377	0.8116467262190208	0.8653931592707753
CCDC137	-0.009188297279259225	5.69303734375	-0.23841395272675128	0.8119332895969688	0.8656495177905058	-6.561433070696137	-0.009188297279259225	0.8119332895969688	0.8656495177905058
STK31	0.0076766859416559936	2.938898359375	0.23837071303249052	0.8119667522179691	0.8656495177905058	-6.5614432606538795	0.0076766859416559936	0.8119667522179691	0.8656495177905058
TTTY12	0.005602111809014019	2.673825546875	0.23826651823876924	0.8120473886021162	0.8656930577927877	-6.561467807832873	0.005602111809014019	0.8120473886021162	0.8656930577927877
TSPAN32	0.005198974533199852	5.321723203125	0.2380550312633535	0.8122110646388654	0.8658251146275232	-6.561517598932525	0.005198974533199852	0.8122110646388654	0.8658251146275232
SYP	-0.006696717123461319	5.1174825	-0.23664300531067536	0.8133040857314243	0.8669478010935302	-6.5618489049161965	-0.006696717123461319	0.8133040857314243	0.8669478010935302
SHROOM1	0.007781329785748689	8.628594453125	0.23629553830537856	0.8135731094900012	0.8671920742226575	-6.561930129754853	0.007781329785748689	0.8135731094900012	0.8671920742226575
NEDD4	0.00898083141317981	7.074281875	0.2361879212011985	0.813656435750787	0.8672383971231746	-6.561955262437725	0.00898083141317981	0.813656435750787	0.8672383971231746
STAC	0.008785453413458873	5.358215078125	0.23586658758568274	0.8139052520948387	0.8674610949935828	-6.562030237976158	0.008785453413458873	0.8139052520948387	0.8674610949935828
KLHL20	0.0061514516066080065	6.569973125	0.23520585830027746	0.8144169303235524	0.8679639157967878	-6.562184082954125	0.0061514516066080065	0.8144169303235524	0.8679639157967878
FADS2	-0.014957435613252672	7.317982265625	-0.23476657454391675	0.814757162303348	0.8682839776398555	-6.562286127657932	-0.014957435613252672	0.814757162303348	0.8682839776398555
RUNDC3A	-0.004849113316982149	5.17326265625	-0.2346615493758805	0.814838511137782	0.8683281307392433	-6.562310496554426	-0.004849113316982149	0.814838511137782	0.8683281307392433
KIF2B	-0.006080557746978735	2.794015390625	-0.2345656964180588	0.8149127572604512	0.8683647109183205	-6.562332727722027	-0.006080557746978735	0.8149127572604512	0.8683647109183205
CABP7	0.004936401961675055	3.9434936718749998	0.23430040416963283	0.81511825703217	0.8685411435327354	-6.562394209612591	0.004936401961675055	0.81511825703217	0.8685411435327354
GPBP1L1	-0.00534921561782892	8.422109296875	-0.23412785807263067	0.815251921004385	0.8686410186916335	-6.562434160128855	-0.00534921561782892	0.815251921004385	0.8686410186916335
LOC100507560	-0.005282487477543333	5.143600703125	-0.23402632894121858	0.8153305737577208	0.8686822731523584	-6.562457653966641	-0.005282487477543333	0.8153305737577208	0.8686822731523584
GLRA3	0.005710360770431442	3.0524853125	0.23364473463571625	0.8156262046837326	0.8689546885339032	-6.562545863830066	0.005710360770431442	0.8156262046837326	0.8689546885339032
PMS2CL	-0.006120105188709384	6.42184453125	-0.23353118250457267	0.8157141815686766	0.8690058568815037	-6.562572084929226	-0.006120105188709384	0.8157141815686766	0.8690058568815037
LOC643072	-0.00719324148930798	4.970761171875	-0.2333893146337468	0.815824099966014	0.8690803940529237	-6.562604826713911	-0.00719324148930798	0.815824099966014	0.8690803940529237
