analysis_role	injury_set	injury_gene_file	n_input_genes	n_overlap_genes	model	term	estimate	std.error	statistic	p.value	conf.low	conf.high
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_selected_fraction_adjusted	(Intercept)	-0.9880811476941688	0.2754509824799249	-3.5871396747193702	5.306004847150245e-4	-1.534920487079015	-0.44124180830932247
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_selected_fraction_adjusted	tissuetumor	0.21101762258638757	0.08920995102793795	2.3654045334057296	0.020042745314175825	0.03391347778549744	0.38812176738727766
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_selected_fraction_adjusted	E2F	-1.452000430447082	0.3489028439654776	-4.161618214240613	6.940517108379027e-5	-2.1446601515554686	-0.7593407093386954
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_selected_fraction_adjusted	G2M	2.0268400333855734	0.3649358635547402	5.5539623144809065	2.5340585138165005e-7	1.30235074404838	2.751329322722767
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_selected_fraction_adjusted	T.cells.CD4.memory.resting	-0.09388710071464275	0.4739591430885337	-0.198091126806483	0.843397040543	-1.0348149651517602	0.8470407637224747
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_selected_fraction_adjusted	Macrophages.M2	1.928302010066897	0.3901078137840732	4.94299765842225	3.3034749015225974e-6	1.1538400812767298	2.702763938857064
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_selected_fraction_adjusted	Plasma.cells	3.2091550753816556	0.5675898225877715	5.654003908580294	1.6422036101741477e-7	2.082346810509775	4.335963340253536
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_selected_fraction_adjusted	Macrophages.M0	2.750886340034968	0.49129833028703224	5.599217767395651	2.083447097054202e-7	1.7755358368120617	3.7262368432578743
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_selected_fraction_adjusted	T.cells.CD8	-0.6689029232369813	0.6343084592789522	-1.054538865834068	0.2943108880961797	-1.9281644285525474	0.5903585820785849
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_selected_fraction_adjusted	Macrophages.M1	2.3062722030889318	0.6988442290312179	3.3001234141777664	0.0013617635265556099	0.9188909961106804	3.693653410067183
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_selected_fraction_adjusted	T.cells.follicular.helper	-2.1183367625224525	0.8124951505781722	-2.6071992688387646	0.010600753513747075	-3.7313435755511195	-0.5053299494937853
topN_sensitivity	HBV_INJURY_TOP_1000	results/tables/HBV_INJURY_TOP_1000_gene_set.tsv	1000	1000	proliferation_selected_fraction_adjusted	Mast.cells.activated	0.5263569442383216	0.8130787267746967	0.6473628283527513	0.5189584380337116	-1.0878084140201179	2.140522302496761
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	unadjusted	(Intercept)	-0.1550747284139325	0.06056844401323321	-2.560322143657037	0.011879893510420552	-0.2751707643133715	-0.03497869251449347
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	unadjusted	tissuetumor	0.23704279914701074	0.07488404330217151	3.165464746481403	0.0020265513755911768	0.08856157432393533	0.3855240239700861
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_adjusted	(Intercept)	-0.0606426770952278	0.0676960983918791	-0.8958075655140351	0.37244434525020265	-0.1949019217768977	0.07361656758644208
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_adjusted	tissuetumor	0.13039905294306417	0.09066012733046587	1.4383285881316454	0.15337244396081426	-0.04940392695204493	0.31020203283817327
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_adjusted	E2F	-2.0055641822575816	0.3966384234779648	-5.056404179583979	1.8653955160558438e-6	-2.7922029459808995	-1.2189254185342637
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_adjusted	G2M	2.4650539570335313	0.41352936101671395	5.961013145409763	3.5454450219857995e-8	1.6449160025180039	3.2851919115490587
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_cibersortx_pc_adjusted	(Intercept)	-0.10120074273540593	0.06081668186527695	-1.6640293358915739	0.09920628561650262	-0.22184468004844377	0.019443194577631925
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_cibersortx_pc_adjusted	tissuetumor	0.19019030421018762	0.08173173726016271	2.3270067489791297	0.021961192570215705	0.028056523081781	0.3523240853385943
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_cibersortx_pc_adjusted	E2F	-1.4505826722622723	0.36649917704020984	-3.9579425088398605	1.407552360524356e-4	-2.1776184523146522	-0.7235468922098925
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_cibersortx_pc_adjusted	G2M	1.9724885662260374	0.3770460503034118	5.231426147121183	9.143638787354553e-7	1.2245306266972005	2.7204465057548743
compact_primary	HBV_INJURY_TOP_2000	results/tables/HBV_INJURY_TOP_2000_gene_set.tsv	2000	2000	proliferation_cibersortx_pc_adjusted	CIBERSORTx_PC1	0.08166999618258625	0.016023218440669115	5.0969782684417915	1.6139701367796257e-6	0.04988424099470094	0.11345575137047155
