gene,meta_logFC_FE,meta_FDR_FE,I2,tau2_REML,Q_p,logFC_121248,FDR_121248,logFC_41804,FDR_41804
CAT,-0.7664550287554548,4.779385969085112e-10,0,0,0.7590450305683875,-0.7393031428571425,1.0311968677772686e-5,-0.8134431669999994,0.00374993233213918
LOC101928505,-1.0929844449193498,2.7850017593806337e-10,0,0,0.585076501928262,-1.153046617760617,4.867088109336584e-7,-0.95961723095,0.02425620036827561
MPC2,0.5392605487897557,5.349232258968322e-11,69.88062507199439,0.029508130078486,0.06843674938404115,0.6531398069498054,2.7070676594180537e-8,0.36253188299999944,0.04445943362469987
HK3,-0.5359340178096889,4.9647875464285305e-9,78.54062422904532,0.2836494185441224,0.03087377056020344,-0.4927120540540531,1.537926989528481e-6,-1.3425943301499994,0.01573193382117036
LPGAT1,0.7434224096200764,4.270911756700402e-11,38.77318542221957,0.01628758877718476,0.20125117605695184,0.8396309652509636,4.397478483803797e-8,0.5497780619999995,0.04058741931290272
PALM2-AKAP2,-0.5357991711895741,7.32288705931478e-11,47.723319079448565,0.01206170562445665,0.1666416109329784,-0.6160731003861002,6.223171073526546e-8,-0.3912432144999999,0.03803357781954471
SFXN1,-0.5390473175135687,1.4866502571123918e-10,0,0,0.7202435559585638,-0.556251320463319,2.7466005218313644e-7,-0.49175008550000177,0.02741753825108347
PTPRS,-0.8315560615022202,5.603651268991265e-9,75.83786621846367,0.4014029714995472,0.04191316460396391,-0.7525424864864859,3.1248645088576183e-6,-1.7814165913,0.01156485519824949
NIPAL3,0.5854786962375756,5.0263599534688215e-12,85.18737667201094,0.08838957630915376,0.00936952279533053,0.4481595830115819,4.505950481258955e-5,0.9037010349499998,9.105281384094535e-5
NCOR1,-0.6786012045123979,3.0084476498878456e-10,0,0,0.5786434117724873,-0.6343417142857137,1.834038565149739e-5,-0.7510493023500002,0.00207462967276558
CYP2J2,-0.9121935432961495,3.544158247176151e-10,0,0,0.756821427277918,-0.9399253590733582,7.663520831742554e-7,-0.8467308047500008,0.02025742541908947
WIPF2,0.28672360352031456,9.311954584568518e-10,14.990665122683614,0.00138506027388758,0.2781020743007547,0.2668469845559839,1.4313842337935753e-6,0.40278436074999974,0.01632408558059655
UHRF1BP1,0.5190975046899591,3.52925691172929e-10,0,0,0.7149375933677571,0.5045301235521225,7.163734512436708e-7,0.5752270040999996,0.02116368067595086
NUDCD2,0.5176454507697601,2.7545588006460735e-10,0,0,0.7460110853782403,0.5333584671814666,5.12610347110142e-7,0.4774264606500001,0.02430597674286653
C1ORF198,0.7853695591429157,3.8113830986174876e-10,0,0,0.5843405850844113,0.754631525096523,7.028050997708513e-7,0.9224863459500002,0.02143753075416321
FAM168B,0.4801327817214758,4.8900380024754794e-9,80.195505787269,0.10977822184983084,0.02463505108469144,0.4138284633204634,1.30203594406983e-5,0.9370650192999994,0.00322203155166084
TXNDC9,0.4617465920703898,1.1180595860124828e-10,58.64287532978502,0.01376006659333694,0.11995081224404572,0.5450728957528954,7.152438541232298e-8,0.3284433756500011,0.03776752887243886
INTS7,0.5695561804284531,3.724883924919732e-10,0,0,0.6332869176746085,0.5973623050193037,6.963249664056713e-7,0.5089919555000004,0.02174924164048287
TIGD7,0.670720163438228,2.1491709310730088e-10,0,0,0.4818611552550093,0.6155668378378372,2.2585296767089725e-5,0.7603611428999997,0.00150141198373487
